Team,Speed,Cycle Speed,Driver,Defense,Offense,Programming,Mechanical,Electrical,Wins
1,3,7,2,4,8,6,5,9,44
2,8,1,9,6,4,7,3,2,40
3,5,3,6,7,8,2,9,1,41
4,7,4,3,1,5,6,8,2,36
5,2,6,8,5,9,1,4,7,42
6,9,5,7,3,2,8,6,4,44
7,1,8,5,7,3,4,2,9,39
8,4,2,9,6,1,7,5,8,42
9,6,9,1,2,7,3,4,5,37
10,7,1,4,9,5,2,6,8,42
11,8,4,3,7,6,9,1,5,43
12,3,6,5,4,2,8,7,1,36
13,2,8,7,1,5,6,3,9,41
14,5,3,9,6,4,1,7,2,37
15,9,7,2,8,3,5,4,6,44
16,4,5,1,7,9,2,8,3,39
17,6,4,3,9,1,7,5,2,37
18,8,1,5,4,6,3,9,7,43
19,7,2,8,5,4,1,6,3,36
20,5,9,4,2,8,7,1,6,42
21,1,6,3,7,9,5,2,8,41
22,2,4,7,1,6,9,8,3,40
23,3,8,2,9,5,4,7,1,39
24,6,5,4,3,1,8,2,7,36
25,9,7,1,8,2,6,3,5,41
26,4,2,5,7,3,9,8,1,39
27,5,9,8,1,7,4,2,6,42
28,7,3,2,6,8,5,4,9,44
29,8,6,3,4,2,1,7,5,36
30,2,7,9,5,6,3,8,4,44
31,1,8,4,2,7,9,6,3,40
32,3,5,7,6,1,4,2,8,36
33,7,1,6,9,2,8,5,3,41
34,5,4,2,7,8,3,1,6,36
35,4,9,3,5,1,7,6,2,37
36,8,6,5,2,9,4,3,1,38
37,9,3,7,1,5,2,6,8,41
38,6,8,1,4,7,3,9,5,43
39,1,4,6,8,2,5,3,7,36
40,7,2,5,9,6,1,8,4,42
41,3,9,4,6,1,7,2,5,37
42,2,5,7,1,8,4,9,6,42
43,4,3,9,5,2,6,1,7,37
44,9,7,2,8,4,5,6,3,44
45,6,1,8,3,9,7,4,2,40
46,8,4,3,7,5,1,2,9,39
47,1,5,6,4,7,2,9,8,42
48,7,6,1,9,2,8,5,3,41
49,5,2,7,6,4,1,3,8,36
50,4,8,9,1,3,5,7,2,39
