Record ID,Team Number,Match Number,Match Type,Drive Station Number,Preloaded?,Robot Left?,Auton Amp Notes Scored,Auton Notes Received,Teleop Speaker Notes Scored,Teleop Amp Notes Missed,Teleop Notes Received From Human Player,Teleop Notes Received From Ground,Endgame Position,Trap,Fouls,Tech Fouls,Yellow Cards,Red Cards,Alliance,Did Team Play Defense?,Time of Creation,Scouter Name,Wins
1,Team 4,21,Semifinal,2,True,False,0,3,8,5,5,3,Parked,True,1,2,0,1,Blue,True,2025-04-02 22:53:48,Scouter 7,1
2,Team 6,45,Quarterfinal,2,True,False,1,2,1,3,5,0,Parked,False,3,2,0,0,Blue,True,2025-04-02 22:53:48,Scouter 5,0
3,Team 4,32,Qualification,1,True,True,1,0,9,4,2,3,Engaged,False,2,2,0,1,Red,True,2025-04-02 22:53:48,Scouter 7,1
4,Team 11,35,Qualification,3,True,True,1,2,3,0,5,5,Docked,True,3,1,0,0,Red,False,2025-04-02 22:53:48,Scouter 5,0
5,Team 12,16,Qualification,1,True,True,5,0,10,2,3,3,Docked,True,3,1,0,1,Blue,True,2025-04-02 22:53:48,Scouter 5,1
6,Team 4,36,Final,2,True,True,4,5,7,1,3,4,Engaged,True,3,2,0,1,Red,False,2025-04-02 22:53:48,Scouter 5,1
7,Team 10,4,Semifinal,1,False,False,2,5,2,0,0,1,Parked,True,0,1,1,1,Red,False,2025-04-02 22:53:48,Scouter 4,0
8,Team 13,30,Qualification,3,True,True,5,4,5,4,0,2,Parked,False,1,0,0,0,Red,True,2025-04-02 22:53:48,Scouter 3,1
9,Team 2,6,Quarterfinal,2,False,False,2,1,4,0,2,0,Docked,False,0,0,0,1,Blue,True,2025-04-02 22:53:48,Scouter 3,0
10,Team 10,27,Semifinal,2,True,False,2,0,6,4,2,5,Engaged,False,1,2,1,1,Blue,False,2025-04-02 22:53:48,Scouter 1,1
11,Team 12,45,Qualification,2,False,False,2,4,9,3,4,2,Engaged,True,1,1,1,0,Red,False,2025-04-02 22:53:48,Scouter 7,1
